transect.name	depth	exposure	aspect	region	frames	points.total	points.total.min.tws	rock	sand	silt	dead.coral.rock	rubble	coral	fire.coral	soft.coral	other	dead.standing.hard.coral	dead.standing.hard.coral.ta	crustose.coraline.algae	macro.algal.assemblage	seagrass	sponge	tws
t71.s	s	low	west	west.coast	20	500	499	0	0	0	55.11022044	0.601202405	27.85571142	1.002004008	13.22645291	0.601202405	0	0.400801603	0.400801603	0.200400802	0.400801603	0.200400802	0.2
t75.d	d	low	west	west.coast	20	500	499	0	32.26452906	0	27.85571142	0.801603206	20.84168337	0	12.0240481	0.200400802	0	0.200400802	0	3.80761523	0	2.004008016	0.2
t75.s	s	low	west	west.coast	20	500	500	0	6.8	0	59.8	0.4	30.8	0	0.2	0.4	0	0	0	1.6	0	0	0
t79.d	d	low	west	picard	20	491	487	0	2.874743326	0	35.72895277	5.338809035	19.91786448	0	25.0513347	0.410677618	0	3.901437372	0	3.901437372	0	2.874743326	0.814663951
t79.s	s	low	west	picard	20	500	498	0	17.06827309	0	35.54216867	0	45.18072289	0	1.606425703	0	0	0	0	0.602409639	0	0	0.4
t04.d	d	medium	north	polymnie	20	999	0	0	4.422110553	0	0.804020101	0	16.28140704	0	15.57788945	0.603015075	0.100502513	20.10050251	2.914572864	13.06532663	0	2.613065327	0.4004004
t04.s	s	medium	north	polymnie	20	949	0	0	1.276595745	0	0.85106383	0	29.68085106	2.340425532	1.489361702	0.212765957	0	0.957446809	8.404255319	24.57446809	0	0.212765957	0.948366702
t16.d	d	medium	north	malabar	20	999	0	0	8.216432866	0.100200401	0.400801603	0	9.218436874	0	10.02004008	0.100200401	0	6.012024048	2.805611222	15.23046092	3.507014028	1.603206413	0.1001001
t16.s	s	medium	north	malabar	20	999	0	0	2.808425276	0	0.300902708	0	19.15747242	4.513540622	12.93881645	0	0	3.811434303	0.902708124	11.1334002	0.200601805	0	0.2002002
t10.s	s	medium	north	malabar	20	1000	0	0	0	0	0.202634245	0	2.026342452	0.202634245	0	0	0	0	3.039513678	10.03039514	77.30496454	0.101317123	1.3
t22.d	d	medium	north	malabar	20	1000	0	0	5.823293173	0	0.502008032	0.401606426	33.73493976	0	23.89558233	1.204819277	0	0.602409639	0.200803213	2.510040161	0	2.008032129	0.4
t22.s	s	medium	north	malabar	20	999	0	0	1.303911735	0	0.802407222	0	59.0772317	0.200601805	1.404212638	0.200601805	0	0.702106319	2.808425276	20.76228686	0	0.200601805	0.2002002
t28.d	d	medium	north	north.grand.terre	20	1000	0	0	2.311557789	0	0	0	8.844221106	3.015075377	0.40201005	0.100502513	0	0.201005025	0.100502513	24.72361809	0	6.231155779	0.5
t28.s	s	medium	north	north.grand.terre	20	1000	0	0	6.3	0	0.1	0	23.5	2.7	1.2	0	0	0	6	26.7	0	0	0
t34.d	d	very_high	east	cinq.cases.east	20	1000	0	0	0.401203611	0	2.407221665	0	13.13941825	2.006018054	0.702106319	0	0	4.613841525	0	33.80140421	0	0.702106319	0.3
t34.s	s	very_high	east	cinq.cases.east	20	997	0	0	0	0	0	0	3.718592965	0.301507538	9.246231156	0.201005025	0	0	0.502512563	54.17085427	11.45728643	0	0.200601805
t40.d	d	high	south	takamaka	20	1000	0	0	0.100200401	0	0.100200401	0	13.42685371	0.601202405	18.43687375	0.701402806	0	1.30260521	1.30260521	17.43486974	0	0.200400802	0.2
t40.s	s	high	south	takamaka	20	1000	0	0	0	0	0	0	11.25401929	0.214362272	2.679528403	0	0	0	2.465166131	39.22829582	0.107181136	0	6.7
t46.d	d	high	south	takamaka	20	1000	0	0	0	0	0.926879506	0	39.34088568	2.98661174	1.132852729	0.926879506	0	8.85684861	0.308959835	13.49124614	0	0.205973223	2.9
t46.s	s	high	south	takamaka	19	950	0	0	0	0	4.406779661	0	35.36723164	0.225988701	1.468926554	0.903954802	0	3.389830508	2.259887006	2.372881356	0.564971751	0.11299435	6.842105263
t51.d	d	high	south	south.coast	20	1000	0	0	0	0	1.303911735	0	81.24373119	0	1.203610832	1.805416249	0	0.300902708	0.802407222	3.610832497	0	1.604814443	0.3
t51.s	s	high	south	south.coast	20	1000	0	0	0	0	1.509054326	0	44.76861167	1.006036217	2.515090543	0	0	2.3138833	0.201207243	3.822937626	0	0.201207243	0.6
t58.d	d	high	south	south.coast	20	500	0	0	0	0	0.2	0	19.4	1.8	36.8	0.4	0	7.6	0	0	0	1.4	0
t58.s	s	high	south	south.coast	20	500	0	0	0	0	0.606060606	0	26.86868687	0.202020202	5.050505051	0.606060606	0	0	1.616161616	0	0	0.404040404	1
t64.d	d	high	south	south.coast	20	500	0	0	0.8	0	2.2	0	10.8	0	31.8	0.2	0	6.4	0.2	2.2	0.6	0.2	0
t64.s	s	high	south	south.coast	20	500	0	0	0	0	0.2	0	27.2	0.6	4	0.2	0	0	2.4	36.2	0	0.4	0
t69.s	s	low	west	south.coast	11	275	0	0	0	0	0.727272727	0	17.81818182	0	1.090909091	0	0	0	1.090909091	13.81818182	0	0	0
t73.d	d	low	west	west.coast	20	500	498	0	0	0	26.30522088	0	41.56626506	0.200803213	25.90361446	0.200803213	0	1.40562249	1.204819277	0.803212851	0	2.409638554	0.4
t73.s	s	low	west	west.coast	20	500	499	0	0.200400802	0	39.27855711	0.200400802	51.70340681	1.20240481	3.80761523	0	0	0.200400802	3.206412826	0	0	0.200400802	0.2
t77.d	d	low	west	picard	20	500	491	0	0	0	33.60488798	0	36.86354379	0	16.29327902	0.203665988	0	0.610997963	0.814663951	10.18329939	0.203665988	1.221995927	1.8
t77.s	s	low	west	picard	20	500	498	0	0	0	47.79116466	1.204819277	16.26506024	1.204819277	24.29718876	0.401606426	0	0.803212851	0.200803213	7.831325301	0	0	0.4
t81.d	d	low	west	picard	20	500	498	0	0	0	24.49799197	5.020080321	32.12851406	0	32.12851406	0.602409639	0	0.200803213	0	4.618473896	0	0.803212851	0.4
t81.s	s	low	west	picard	20	500	500	0	0.8	0	41.8	1.4	49	0.4	3.8	1	0	0.4	0	1.4	0	0	0
